,Unnamed: 0,SUCURSAL,PERIODO,MES,PROVEEDOR,FOLIO_VENTA,TIPO_VENTA,CANTIDAD_VENTA,TOTAL_VENTA,ULTIMO_COSTO,CODIGO_BARRAS,DTO_CLIENTE,TITULO,TIPO_PRODUCTO,PRECIO_LISTA,COSTO_DEL_DIA_VTA,AUTOR_,DTO_COMERCIAL_,EDITORIAL_,AREA_TEMATICA_,TEMA_,SUBTEMA_,Num_dia_ven,Fecha_ven,N_dia_ven,N_mes_ven,FONDO_180d
94432,117806,SUCURSAL_5,2022,10,PENGUIN RANDOM HOUSE GRUPO EDITORIAL,692516.0,PISO DE VENTA,1.0,329.0,190.82,9786073103381,0.0,Tus zonas errÃ³neas / 2 Ed.,LIBRO,329.0,190.82,"DYER, WAYNE W.",42.0,DEBOLSILLO,"DESARROLLO PERSONAL, SALUD Y BIENESTAR",SUPERACION PERSONAL Y AUTOAYUDA,AUTOAYUDA,13,2022-10-13,Jueves,Octubre,Fondo
12698,17159,SUCURSAL_1,2021,8,EDITORIAL OCEANO DE MEXICO SA DE CV,7172049.0,PISO DE VENTA,1.0,255.0,140.76,9788433902610,0.0,Las partÃ­culas elementales,LIBRO,255.0,,"HOUELLEBECQ, MICHEL",44.8,ANAGRAMA,LITERATURA,LITERATURA,NARRATIVA UNIVERSAL,1,2021-08-01,Domingo,Agosto,Fondo
143309,179141,SUCURSAL_2,2022,11,PENGUIN RANDOM HOUSE GRUPO EDITORIAL,4431921.0,PISO DE VENTA,1.0,299.0,173.42,9786073820974,0.0,El silbido del arquero,LIBRO,299.0,173.42,"VALLEJO, IRENE",42.0,LRH (LITERATURA RANDOM HOUSE),LITERATURA,LITERATURA,NARRATIVA IBEROAMERICANA,5,2022-11-05,SÃ¡bado,Noviembre,Novedad
127527,159633,SUCURSAL_2,2022,7,EDITORIAL PLANETA MEXICANA,4399957.0,PISO DE VENTA,1.0,268.0,155.44,9786070756047,0.0,Los compas y el diamantito legendario,LIBRO,268.0,155.44,MIKECRACK,42.0,MR (EDICIONES MARTINEZ ROCA),NIÃOS,NIÃOS,DE 6 A 12 AÃOS,30,2022-07-30,SÃ¡bado,Julio,Fondo
170384,208930,SUCURSAL_4,2021,6,NIRVANA LIBROS SA DE CV,842062.0,PISO DE VENTA,1.0,360.0,215.0,9788478087501,0.25,CAMBIA TU CEREBRO CAMBIA TU CUERPO,LIBRO,480.0,,"AMEN, DANIEL G.",50.0,SIRIO,"DESARROLLO PERSONAL, SALUD Y BIENESTAR",SALUD ALTERNATIVA,SALUD GENERAL,30,2021-06-30,MiÃ©rcoles,Junio,Fondo
75402,92801,SUCURSAL_5,2021,3,EDITORIAL OCEANO DE MEXICO SA DE CV,623992.0,PISO DE VENTA,1.0,360.0,198.72,9786074004502,,Sinsajo / Los juegos del hambre / vol. 3,LIBRO,360.0,,"COLLINS, SUZANNE",44.8,OCEANO / TRAVESIA,JUVENIL,LITERATURA,LITERATURA JUVENIL,28,2021-03-28,Domingo,Marzo,Fondo
177626,217659,SUCURSAL_4,2022,12,EDITORIAL PLANETA MEXICANA,908010.0,PISO DE VENTA,1.0,133.2,85.84,9786070785894,0.1,CÃ³mplices,LIBRO,148.0,85.84,"TAIBO, BENITO",42.0,BOOKET,JUVENIL,LITERATURA,LITERATURA JUVENIL,27,2022-12-27,Martes,Diciembre,Fondo
28141,34868,SUCURSAL_1,2021,5,COLOFON SA DE CV,7149604.0,PISO DE VENTA,1.0,247.5,165.0,9788485081912,,El pensamiento del afuera / 7 ed.,LIBRO,330.0,,"FOUCAULT, MICHEL",50.0,PRE-TEXTOS,HUMANIDADES,FILOSOFIA,FILOSOFIA,22,2021-05-22,SÃ¡bado,Mayo,Fondo
49380,61885,SUCURSAL_1,2022,12,EDITORIAL PLANETA MEXICANA,7348922.0,PISO DE VENTA,1.0,398.0,230.84,9786070780691,0.0,El hijo del CapitÃ¡n Trueno,LIBRO,398.0,230.84,"BOSE, MIGUEL",42.0,ESPASA,CIENCIAS SOCIALES,HISTORIA,BIOGRAFIAS,21,2022-12-21,MiÃ©rcoles,Diciembre,Fondo
91585,113590,SUCURSAL_5,2022,10,EDITORIAL PLANETA MEXICANA,692061.0,PISO DE VENTA,1.0,358.0,172.84,9786070761379,0.0,FROZEN 2. BOSQUE DE SOMBRAS,LIBRO,358.0,207.64,DISNEY,42.0,PLANETA (LICENCIAS),NIÃOS,NIÃOS,DE 6 A 12 AÃOS,8,2022-10-08,SÃ¡bado,Octubre,Fondo
79097,97862,SUCURSAL_5,2021,8,EDITORIAL OCEANO DE MEXICO SA DE CV,640525.0,PISO DE VENTA,1.0,360.0,198.72,9788484458128,0.0,REGRESA A TI. EL LIBRO DEL AMOR,LIBRO,360.0,,"BLANES, VIRGINIA",44.8,GAIA EDICIONES,"DESARROLLO PERSONAL, SALUD Y BIENESTAR",SUPERACION PERSONAL Y AUTOAYUDA,AUTOAYUDA,7,2021-08-07,SÃ¡bado,Agosto,Fondo
177415,217383,SUCURSAL_4,2022,8,EDITORIAL PLANETA MEXICANA,890311.0,PISO DE VENTA,1.0,148.0,,9786070781681,0.0,Pistas de Blue y tÃº. Â¡A jugar!,LIBRO,148.0,85.84,NICKELODEON,42.0,PLANETA (LICENCIAS),NIÃOS,NIÃOS,DE 3 A 5 AÃOS,1,2022-08-01,Lunes,Agosto,Fondo
114509,144296,SUCURSAL_2,2021,7,NIRVANA LIBROS SA DE CV,4290669.0,PISO DE VENTA,1.0,472.5,315.0,9788417399481,0.25,CARTAS DE LA SANACION DE LAS 5 HERIDAS (ESTUCHE),LIBRO,630.0,,"BOURBEAU, LISE",50.0,SIRIO,"DESARROLLO PERSONAL, SALUD Y BIENESTAR",SUPERACION PERSONAL Y AUTOAYUDA,AUTOAYUDA,24,2021-07-24,SÃ¡bado,Julio,Fondo
39052,48738,SUCURSAL_1,2021,1,PEARSON EDUCACION DE MEXICO SA DE CV,7106285.0,PISO DE VENTA,1.0,1187.5,850.0,9788478290956,,NUTRICION,LIBRO,1250.0,,"THOMPSON, JANICE L.",32.0,PEARSON,"TEXTOS ESCOLARES, UNIVERSITARIOS Y TÃCNICOS",MEDICINA,ENFERMERIA Y PROMOCION DE LA SALUD,5,2021-01-05,Martes,Enero,Fondo
73996,90823,SUCURSAL_5,2021,3,EDITORIAL OCEANO DE MEXICO SA DE CV,624270.0,PISO DE VENTA,1.0,440.0,242.88,9788433980625,,Un lugar llamado AntaÃ±o / 2 ed.,LIBRO,440.0,,"TOKARCZUK, OLGA",44.8,ANAGRAMA,LITERATURA,LITERATURA,NARRATIVA UNIVERSAL,30,2021-03-30,Martes,Marzo,Novedad
11359,15359,SUCURSAL_1,2021,9,EDITORIAL OCEANO DE MEXICO SA DE CV,7186785.0,PISO DE VENTA,1.0,175.0,96.6,9786075276656,0.0,SEDA,LIBRO,175.0,,"BARICCO, ALESSANDRO",44.8,ANAGRAMA,LITERATURA,LITERATURA,NARRATIVA UNIVERSAL,3,2021-09-03,Viernes,Septiembre,Fondo
114161,143890,SUCURSAL_2,2021,8,NIRVANA LIBROS SA DE CV,4300419.0,PISO DE VENTA,1.0,397.5,265.0,9788499884998,0.25,SAMKHYAKARIKA. LAS ESTROFAS DEL SAMKHYA,LIBRO,530.0,,ISVARAKRSNA,50.0,KAIROS,HUMANIDADES,FILOSOFIA,FILOSOFIA,24,2021-08-24,Martes,Agosto,Fondo
140873,176329,SUCURSAL_2,2022,7,PENGUIN RANDOM HOUSE GRUPO EDITORIAL,4396059.0,PISO DE VENTA,1.0,499.0,301.02,9786073812719,0.0,Mujeres que corren con los lobos,LIBRO,499.0,289.42,"PINKOLA ESTES, CLARISSA",42.0,EDICIONES B,"DESARROLLO PERSONAL, SALUD Y BIENESTAR",SUPERACION PERSONAL Y AUTOAYUDA,AUTOAYUDA,12,2022-07-12,Martes,Julio,Novedad
124912,156287,SUCURSAL_2,2022,7,EDITORIAL PLANETA MEXICANA,4399975.0,PISO DE VENTA,1.0,208.0,120.64,9788445076538,0.0,CrÃ³nicas marcianas,LIBRO,208.0,120.64,"BRADBURY, RAY",42.0,BOOKET,LITERATURA,LITERATURA,CIENCIA FICCION Y LITERATURA FANTASTICA,30,2022-07-30,SÃ¡bado,Julio,Fondo
70239,86007,SUCURSAL_1,2022,12,PENGUIN RANDOM HOUSE GRUPO EDITORIAL,7344965.0,PISO DE VENTA,1.0,299.0,173.42,9786073820653,0.0,El rey del cash. El saqueo oculto del presidente y su equipo cercano,LIBRO,299.0,173.42,"CHAVEZ, ELENA",42.0,GRIJALBO,CIENCIAS SOCIALES,CIENCIAS SOCIALES,COMUNICACION Y PERIODISMO,14,2022-12-14,MiÃ©rcoles,Diciembre,Novedad
164912,202427,SUCURSAL_4,2022,5,EDITORIAL OCEANO DE MEXICO SA DE CV,884614.0,PISO DE VENTA,1.0,204.4,162.84,9788484457961,0.44,COLISION CON EL INFINITO. UNA VIDA MAS ALLA DEL YO PERSONAL,LIBRO,365.0,,"SEGAL, SUZANNE",44.8,GAIA EDICIONES,"DESARROLLO PERSONAL, SALUD Y BIENESTAR",SUPERACION PERSONAL Y AUTOAYUDA,LITERATURA ESPIRITUAL,31,2022-05-31,Martes,Mayo,Fondo
8530,11274,SUCURSAL_1,2021,6,EDITORIAL OCEANO DE MEXICO SA DE CV,7155392.0,PISO DE VENTA,1.0,165.0,91.08,9788433920447,0.0,"MAQUINA DE FOLLAR, LA",LIBRO,165.0,,"BUKOWSKI, CHARLES",44.8,ANAGRAMA,LITERATURA,LITERATURA,NARRATIVA UNIVERSAL,10,2021-06-10,Jueves,Junio,Fondo
51634,64460,SUCURSAL_1,2022,12,EDITORIAL PLANETA MEXICANA,7348368.0,PISO DE VENTA,1.0,258.0,149.64,9786070790850,0.0,El mundial de Trino. EdiciÃ³n Qatar,LIBRO,258.0,149.64,"TRINO (CAMACHO OROZCO, JOSE TRINIDAD)",42.0,PLANETA,LITERATURA ILUSTRADA Y CÃMIC,"ARTES, BELLAS ARTES Y ARTES DECORATIVAS",CARICATURA COMICS Y NOVELA GRAFICA,20,2022-12-20,Martes,Diciembre,Novedad
135238,169314,SUCURSAL_2,2022,8,PENGUIN RANDOM HOUSE GRUPO EDITORIAL,4408576.0,PISO DE VENTA,1.0,119.0,80.62,9786075292199,0.0,La teorÃ­a de los muchos mundos,LIBRO,119.0,69.02,"EDGE, CHRISTOPHER",42.0,EDICIONES B,JUVENIL,LITERATURA,LITERATURA JUVENIL,26,2022-08-26,Viernes,Agosto,Fondo
182320,223479,SUCURSAL_4,2022,12,PENGUIN RANDOM HOUSE GRUPO EDITORIAL,905439.0,PISO DE VENTA,1.0,230.3,190.82,9786073810494,0.3,Boulevard. La versiÃ³n de flor / Libro 1,LIBRO,329.0,190.82,"SALVADOR, FLOR M.",42.0,MONTENA,JUVENIL,LITERATURA,LITERATURA JUVENIL,14,2022-12-14,MiÃ©rcoles,Diciembre,Fondo
40414,50867,SUCURSAL_1,2021,8,PEARSON EDUCACION DE MEXICO SA DE CV,7174174.0,PISO DE VENTA,1.0,399.0,273.0,9786073241663,0.05,LOGICA Y ARGUMENTACION. UNA INTRODUCCION AL ESPACIO DE LAS RAZONES,LIBRO,420.0,,"RODRIGUEZ, GABRIELA",35.0,PEARSON,"TEXTOS ESCOLARES, UNIVERSITARIOS Y TÃCNICOS",TEXTOS ESCOLARES,BACHILLERATO,8,2021-08-08,Domingo,Agosto,Fondo
33857,41343,SUCURSAL_1,2021,12,COLOFON SA DE CV,7227682.0,PISO DE VENTA,1.0,356.25,237.5,9788416495368,0.25,COCAINA / 2 ED / PD.,LIBRO,475.0,,"JIMENEZ, DANIEL",50.0,GALAXIA GUTENBERG,LITERATURA,LITERATURA,NARRATIVA IBEROAMERICANA,18,2021-12-18,SÃ¡bado,Diciembre,Fondo
